Order Number,Order ID,Date,Status,Store,Warehouse,Item Number,Description,Store SKU,Quantity,Price,Total Price,Discount,Sales Tax,Shipping Charge,Shipping Tax,Gift Wrap Charge,Gift Wrap Tax
912003368086271-8674054559,19981,03/27/2026,Ready To Pick,Target Plus,Default,850009397980,"Royal Craft Wood Bamboo Ziplock Bag Storage Organizer for Kitchen Drawer & Wall Mount, 4 in 1 - - Fits Any Brand Gallon, Quart, Sandwich",RCW-ZLBSORG-4,1,25.97,25.97,1.3,0,0,0,0,0
902003366795899-8673961568,19980,03/27/2026,Ready To Pick,Target Plus,Default,850022045608,"July Home Plastic Cutting Board Set of 3 with Juice Grooves for Meat, Veggies, Fruits, Easy Grip Handle, Non-Slip (Black/Gray)",JH-CUTBO-SET-3-BLGR,1,22.96,22.96,0,0,0.00,0,0,0
912003367616530-8645680375,19979,03/27/2026,Ready To Pick,Target Plus,Default,850022045677,"July Home Flexible Cutting Mats Set of 3, Gray",JH-CUTMAT-SET-3-GRAY,1,9.97,9.97,0.5,0,0.0,0,0,0
912003368034165-8664237711,19978,03/27/2026,Ready To Pick,Target Plus,Default,860001143546,"Bathtub Caddy Tray, Natural",RCW-CAD-BMB,1,49.97,49.97,0,0,0.00,0,0,0
912003367331969-8655550397,19977,03/26/2026,Ready To Pick,Target Plus,Default,850022045660,July Home Refrigerator Shelf Liners/Refrigerator Mats (Pack of 6),RFMAT-SET-6-LMY,1,8.97,8.97,0.45,0,0.0,0,0,0
102003367430700-8655508219,19976,03/26/2026,Ready To Pick,Target Plus,Default,850009397966,Royal Craft Wood Dish Washing Brush,RCW-DWB-BMB,1,9.97,9.97,0.5,0,0.0,0,0,0
912003329552143-8673855330,19975,03/26/2026,Ready To Pick,Target Plus,Default,860001143546,"Bathtub Caddy Tray, Natural",RCW-CAD-BMB,1,49.97,49.97,2.5,0,0.00,0,0,0
912003363866031-8673767130,19974,03/26/2026,Ready To Pick,Target Plus,Default,860001143539,"Royal Craft Wood Organic Bamboo Cutting Board with Juice Groove 12x 8"" (S) - Chopping Board for Meat (Butcher Block) Cheese and Vegetables",RCW-CUTBO-S,1,16.97,16.97,0,0,0,0,0,0
912003363866031-8673767130,19974,03/26/2026,Ready To Pick,Target Plus,Default,860001143522,"Royal Craft Wood Bamboo Cutting Board for Kitchen with Juice Groove 10 x 15"" (M) - Chopping Board for Meat (Butcher Block), Cheese and Vegetables",RCW-CUTBO-M,1,17.87,17.87,0,0,0,0,0,0
912003363866031-8673767130,19974,03/26/2026,Ready To Pick,Target Plus,Default,860001143515,"Cutting Board XL, 18”x12”",RCW-CUTBO-L,1,13.99,13.99,0,0,0.00,0,0,0
902003249896060-8645323981,19973,03/26/2026,Ready To Pick,Target Plus,Default,850022045653,"July Home Refrigerator Mats, pack of 12, LLC/MNT/YLW",RFMAT-SET-12-LMY,1,12.97,12.97,0,0,5.99,0,0,0
902003366384233-8645295066,19972,03/26/2026,Ready To Pick,Target Plus,Default,850022045653,"July Home Refrigerator Mats, pack of 12, LLC/MNT/YLW",RFMAT-SET-12-LMY,2,12.97,25.94,0,0,5.99,0,0,0
