Order ID,Order Number,Store,Notify Store,Carrier,Ship Type,SSCC,Order Shipping Cost,Box Number,Tracking Number,Box Shipping Cost,Item Number,Quantity,Pounds,Ounces,Width,Height,Length
19994,102003371933947-8646785981,Target Plus,,"USPS ",First Class Mail,,$3.00,,9400150106151156995291,,,,,,,,
20002,102003373638555-8656873953,Target Plus,,USPS,First Class Mail,,$3.00,,9400150206217618644219,,,,,,,,
20010,902003223191196-8665652407,Target Plus,,"USPS ",First Class Mail,,$3.00,,9400150206217618644578,,,,,,,,
19983,902003368677679-8674225260,Target Plus,,"USPS ",First Class Mail,,$3.00,,9400150206217618644516,,,,,,,,
19988,902003370369783-8656332622,Target Plus,,"USPS ",First Class Mail,,$3.00,,9400150106151156995062,,,,,,,,
19999,902003373030958-8647013142,Target Plus,,"USPS ",Ground Advantage,,$7.00,,9434650106151051887174,,,,,,,,
20001,902003373232878-8665406129,Target Plus,,"USPS ",Ground Advantage,,$7.00,,9434650206217196785849,,,,,,,,
20008,902003374367450-8647249005,Target Plus,,"USPS ",Ground Advantage,,$7.00,,9434650106151051887167,,,,,,,,
19984,912003369166329-8646073012,Target Plus,,"USPS ",Ground Advantage,,$7.00,,9434650106151051887143,,,,,,,,
19986,912003370518588-8656300774,Target Plus,,"USPS ",Ground Advantage,,$7.00,,9434650106151051887204,,,,,,,,
19990,912003371232281-8664987389,Target Plus,,"USPS ",First Class Mail,,$3.00,,9400150106151156994973,,,,,,,,
19993,912003371986488-8656581343,Target Plus,,"USPS ",First Class Mail,,$3.00,,9400150206217618644868,,,,,,,,
20006,912003374240264-8656977248,Target Plus,,"USPS ",First Class Mail,,$3.00,,9400150206217618644288,,,,,,,,
20009,912003374404640-8675360119,Target Plus,,"USPS ",First Class Mail,,$3.00,,9400150206217618644295,,,,,,,,
