Order ID,Order Number,Store,Notify Store,Carrier,Ship Type,SSCC,Order Shipping Cost,Box Number,Tracking Number,Box Shipping Cost,Item Number,Quantity,Pounds,Ounces,Width,Height,Length
19996,102003372105787-8674952761,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW51067003,,,,,,,,
19997,902003354412266-8646927214,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW95222897,,,,,,,,
19991,902003371711259-8674802528,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW94201652,,,,,,,,
20000,902003373345075-8675111483,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW93289392,,,,,,,,
20011,902003374801474-8675382839,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW83040614,,,,,,,,
20007,912003270223248-8647240995,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW99585122,,,,,,,,
19992,912003361139066-8674861746,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW65248014,,,,,,,,
19985,912003370240041-8674486152,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW74162769,,,,,,,,
19987,912003371165023-8664903588,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW99466537,,,,,,,,
19989,912003371179688-8646566831,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW63100864,,,,,,,,
19995,912003371719844-8656617720,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW63389590,,,,,,,,
19998,912003373214557-8647005712,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW75558134,,,,,,,,
20003,912003373760524-8656898921,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW76536110,,,,,,,,
20004,912003374025734-8647187955,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW68571767,,,,,,,,
20005,912003374111944-8665544981,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW76956541,,,,,,,,
20012,912003375345161-8665724618,Target Plus,,UPS@,SurePost,,$7.00,,1ZJ74F69YW83496356,,,,,,,,
