Order ID,Order Number,Store,Notify Store,Carrier,Ship Type,SSCC,Order Shipping Cost,Box Number,Tracking Number,Box Shipping Cost,Item Number,Quantity,Pounds,Ounces,Width,Height,Length
19994,102003371933947-8646785981,Target Plus,,USPS ,First Class Mail,,$3.00,,9400150106151156995291,,,,,,,,
19996,102003372105787-8674952761,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW51067003,,,,,,,,
20002,102003373638555-8656873953,Target Plus,,USPS,First Class Mail,,$3.00,,9400150206217618644219,,,,,,,,
20010,902003223191196-8665652407,Target Plus,,USPS ,First Class Mail,,$3.00,,9400150206217618644578,,,,,,,,
19997,902003354412266-8646927214,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW95222897,,,,,,,,
19983,902003368677679-8674225260,Target Plus,,USPS ,First Class Mail,,$3.00,,9400150206217618644516,,,,,,,,
19988,902003370369783-8656332622,Target Plus,,USPS ,First Class Mail,,$3.00,,9400150106151156995062,,,,,,,,
19991,902003371711259-8674802528,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW94201652,,,,,,,,
19999,902003373030958-8647013142,Target Plus,,USPS ,Ground Advantage,,$7.00,,9434650106151051887174,,,,,,,,
20001,902003373232878-8665406129,Target Plus,,USPS ,Ground Advantage,,$7.00,,9434650206217196785849,,,,,,,,
20000,902003373345075-8675111483,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW93289392,,,,,,,,
20008,902003374367450-8647249005,Target Plus,,USPS ,Ground Advantage,,$7.00,,9434650106151051887167,,,,,,,,
20011,902003374801474-8675382839,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW83040614,,,,,,,,
20007,912003270223248-8647240995,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW99585122,,,,,,,,
19992,912003361139066-8674861746,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW65248014,,,,,,,,
19984,912003369166329-8646073012,Target Plus,,USPS ,Ground Advantage,,$7.00,,9434650106151051887143,,,,,,,,
19985,912003370240041-8674486152,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW74162769,,,,,,,,
19986,912003370518588-8656300774,Target Plus,,USPS ,Ground Advantage,,$7.00,,9434650106151051887204,,,,,,,,
19987,912003371165023-8664903588,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW99466537,,,,,,,,
19989,912003371179688-8646566831,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW63100864,,,,,,,,
19990,912003371232281-8664987389,Target Plus,,USPS ,First Class Mail,,$3.00,,9400150106151156994973,,,,,,,,
19995,912003371719844-8656617720,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW63389590,,,,,,,,
19993,912003371986488-8656581343,Target Plus,,USPS ,First Class Mail,,$3.00,,9400150206217618644868,,,,,,,,
19998,912003373214557-8647005712,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW75558134,,,,,,,,
20003,912003373760524-8656898921,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW76536110,,,,,,,,
20004,912003374025734-8647187955,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW68571767,,,,,,,,
20005,912003374111944-8665544981,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW76956541,,,,,,,,
20006,912003374240264-8656977248,Target Plus,,USPS ,First Class Mail,,$3.00,,9400150206217618644288,,,,,,,,
20009,912003374404640-8675360119,Target Plus,,USPS ,First Class Mail,,$3.00,,9400150206217618644295,,,,,,,,
20012,912003375345161-8665724618,Target Plus,,UPS@,Ground Saver,,$7.00,,1ZJ74F69YW83496356,,,,,,,,
